challenge_id,challenge_type_orig,challenge_type
0717074c-edb9-4a11-9c98-787dcf012218,AD HOC,Cobertura Cerveza
193b5135-949f-4783-a765-35b208d838ab,AD HOC,Cobertura Cerveza
78bfc1bf-773c-4ad0-8c2e-cfd2e233347b,AD HOC,Cobertura Cerveza
310ba224-a141-41b4-860a-97476672d8bf,AD HOC,Cobertura Cerveza
cf01e82d-a7a5-4a26-b9b2-a36216baf0e4,AD HOC,Cobertura Cerveza
b8cc7f8c-9a5a-463d-bd7f-17535328d4fd,AD HOC,Cobertura Cerveza
a23ebb04-9325-44ca-b787-d9ef76eeb92f,AD HOC,Cobertura Cerveza
c2289e08-5eca-46e5-8d09-3966a1bbe10e,INNOVACION,Cobertura Innovaciones
f23e459e-1d92-47a7-9b13-d733ff433b70,AD HOC,Cobertura Cerveza
1359c1a4-daca-4acc-aa4d-35734705b8f3,AD HOC,Cobertura Cerveza
c590195e-2a91-4ece-a843-308ebf67463a,AD HOC,Cobertura Cerveza
a8e668e2-b6dd-4ba9-b472-5d8b0498828a,AD HOC,Cobertura Cerveza
1303eeac-cbdd-4adf-b0fe-c677680422a6,AD HOC,Cobertura Cerveza
d468d55a-d906-4b43-bbfd-4641d323a1eb,AD HOC,Cobertura Cerveza
e77ced92-7674-401e-83fa-c921bc237f83,INNOVACION,Cobertura Innovaciones
ab2ff1d4-0e37-43e4-bac6-c6019e18679f,AD HOC,Cobertura Cerveza
5fa8d60c-72d2-47dd-ae99-931e17b75f8f,AD HOC,Cobertura Cerveza
cf6eaa10-2c1e-4f44-9a89-5cebe63b94bd,AD HOC,Cobertura Cerveza
f3fe8ec3-1e65-4582-96ac-9dbe45273d8f,AD HOC,Cobertura Cerveza
b9cd099c-0eb3-4a06-a5c4-92a4ee8d3b2f,AD HOC,Cobertura Cerveza
1d53824e-e780-4720-b982-e8b0eecb39eb,AD HOC,Cobertura Cerveza
961d41da-96e6-4f9f-9f86-bffe5957faf4,AD HOC,Cobertura Cerveza
01d56abb-fe77-41fb-a4c5-bbcca0a59c34,AD HOC,Cobertura Cerveza
cdb3cf75-6d81-4d45-8b9d-ca6e0b97810d,AD HOC,Cobertura Cerveza
25fb6192-3431-43e4-8cd4-1768757fe5cf,AD HOC,Cobertura Cerveza
e40e5ef2-8711-4d79-af2e-b334ed25f888,INNOVACION,Cobertura Innovaciones
6e428e03-aa76-477a-abb7-019d41f2f38d,AD HOC,Cobertura Cerveza
0b4932e3-7b14-49c3-8f6d-9b77c83b0b2d,INNOVACION,Cobertura Innovaciones
228c7363-974f-4bc1-a29d-aea5bf7bf548,AD HOC,Cobertura Cerveza
01ad30bf-1647-4fd2-9813-050331973f42,AD HOC,Cobertura Cerveza
313a1320-651c-4002-ac13-a64b09995674,AD HOC,Cobertura Cerveza
ec328831-bd6d-449b-88fd-30621a0eb7d8,AD HOC,Cobertura Cerveza
b379c1a7-6bce-4ab4-9d85-e02f02411d51,AD HOC,Cobertura Cerveza
c512eec0-f508-463a-b38a-60ed9619d6d3,AD HOC,Cobertura Cerveza
7c858f76-92b9-4cc0-8409-a616965c4f48,AD HOC,Cobertura Cerveza
da875903-8e3f-4b71-8da3-41bcd817830a,INNOVACION,Cobertura Innovaciones
34ad59b1-93ec-4f2c-adb9-444b75f675eb,INNOVACION,Cobertura Innovaciones
28ff4ca1-b30d-4e89-8a3a-a4ed297194b0,AD HOC,Cobertura Cerveza
350acc53-0a59-48e0-bdb8-fe42d6476671,INNOVACION,Cobertura Innovaciones
cdd4f8db-4ade-4775-86ed-038318de4d5f,AD HOC,Cobertura Cerveza
3d03b4fc-a607-4413-a836-95f9bd20da51,AD HOC,Cobertura Cerveza
b129a0da-d8f6-43f1-bd05-5a7b6741233b,INNOVACION,Cobertura Innovaciones
3c328c3d-d46c-4469-8faa-37ffc20a96ec,AD HOC,Cobertura Cerveza
e110df7b-2b74-40fc-b671-1cf8e30d5b59,AD HOC,Cobertura Cerveza
